place_id,gas_type,price,longitude,latitude,date
2624,regular,23.99,-99.29172,20.05834,2026-05-22
2624,diesel,27,-99.29172,20.05834,2026-05-22
2745,regular,23.79,-99.21908,18.92379,2026-05-22
2745,premium,28.49,-99.21908,18.92379,2026-05-22
2745,diesel,26.99,-99.21908,18.92379,2026-05-22
2715,regular,23.99,-99.17624,19.43496,2026-05-22
2715,premium,28.99,-99.17624,19.43496,2026-05-22
2657,regular,23.99,-94.04018,18.08629,2026-05-22
2657,premium,28.99,-94.04018,18.08629,2026-05-22
2657,diesel,27,-94.04018,18.08629,2026-05-22
2738,premium,28.99,-99.3408,20.04539,2026-05-22
2738,regular,23.99,-99.3408,20.04539,2026-05-22
2738,diesel,27,-99.3408,20.04539,2026-05-22
2620,regular,22.97,-102.0181,20.32315,2026-05-22
2620,premium,28.69,-102.0181,20.32315,2026-05-22
2620,diesel,26.99,-102.0181,20.32315,2026-05-22
2636,regular,23.99,-94.5683,17.99188,2026-05-22
2636,premium,27.99,-94.5683,17.99188,2026-05-22
2636,diesel,27,-94.5683,17.99188,2026-05-22
2729,regular,23.99,-94.40821,18.07633,2026-05-22
2729,premium,28.09,-94.40821,18.07633,2026-05-22
2729,diesel,27,-94.40821,18.07633,2026-05-22
2627,premium,27.99,-94.91487,17.96037,2026-05-22
2627,regular,23.99,-94.91487,17.96037,2026-05-22
2627,diesel,27,-94.91487,17.96037,2026-05-22
2621,premium,28.89,-96.72063,18.80815,2026-05-22
2621,regular,23.99,-96.72063,18.80815,2026-05-22
2621,diesel,27,-96.72063,18.80815,2026-05-22
2623,regular,22.97,-102.0157,20.35177,2026-05-22
2623,premium,28.69,-102.0157,20.35177,2026-05-22
2623,diesel,26.99,-102.0157,20.35177,2026-05-22
2690,regular,23.99,-94.93098,17.92127,2026-05-22
2690,premium,27.89,-94.93098,17.92127,2026-05-22
2690,diesel,27,-94.93098,17.92127,2026-05-22
2724,regular,23.59,-99.05791,19.40932,2026-05-22
2724,premium,27.59,-99.05791,19.40932,2026-05-22
2724,diesel,26.99,-99.05791,19.40932,2026-05-22
2613,regular,23.99,-92.91328,18.01615,2026-05-22
2613,premium,28.49,-92.91328,18.01615,2026-05-22
2613,diesel,27,-92.91328,18.01615,2026-05-22
2702,premium,27.99,-98.91233,19.41081,2026-05-22
2702,regular,22.99,-98.91233,19.41081,2026-05-22
2702,diesel,26.99,-98.91233,19.41081,2026-05-22
2705,regular,23.99,-92.98787,17.98784,2026-05-22
2705,premium,28.49,-92.98787,17.98784,2026-05-22
2705,diesel,27,-92.98787,17.98784,2026-05-22
2626,regular,22.99,-91.99133,17.50216,2026-05-22
2626,premium,27.59,-91.99133,17.50216,2026-05-22
2626,diesel,26.49,-91.99133,17.50216,2026-05-22
2618,regular,23.99,-100.4375,20.61662,2026-05-22
2618,premium,29.49,-100.4375,20.61662,2026-05-22
2618,diesel,27,-100.4375,20.61662,2026-05-22
2601,regular,23.99,-101.1438,20.54966,2026-05-22
2601,premium,29.99,-101.1438,20.54966,2026-05-22
2601,diesel,27,-101.1438,20.54966,2026-05-22
2688,regular,22.98,-115.0746,32.31147,2026-05-22
2688,premium,27.88,-115.0746,32.31147,2026-05-22
2688,diesel,26.99,-115.0746,32.31147,2026-05-22
2595,regular,22.99,-114.9992,32.56931,2026-05-22
2595,premium,27.99,-114.9992,32.56931,2026-05-22
2595,diesel,26.99,-114.9992,32.56931,2026-05-22
2602,regular,23.98,-101.2339,19.67792,2026-05-22
2602,premium,28.95,-101.2339,19.67792,2026-05-22
2602,diesel,26.99,-101.2339,19.67792,2026-05-22
2614,regular,23.99,-100.3868,20.61522,2026-05-22
2614,premium,29.49,-100.3868,20.61522,2026-05-22
2652,regular,23.99,-100.2211,20.56229,2026-05-22
2652,premium,29.49,-100.2211,20.56229,2026-05-22
2652,diesel,27,-100.2211,20.56229,2026-05-22
2631,regular,23.99,-100.392,20.58547,2026-05-22
2631,premium,29.49,-100.392,20.58547,2026-05-22
2631,diesel,27,-100.392,20.58547,2026-05-22
11137,regular,23.79,-103.3744,20.72273,2026-05-22
11137,premium,28.99,-103.3744,20.72273,2026-05-22
2615,diesel,26.99,-101.1623,19.66436,2026-05-22
2615,regular,23.99,-101.1623,19.66436,2026-05-22
2615,premium,28.95,-101.1623,19.66436,2026-05-22
2686,regular,23.99,-99.07858,19.41787,2026-05-22
2686,premium,29.39,-99.07858,19.41787,2026-05-22
2686,diesel,27,-99.07858,19.41787,2026-05-22
2641,regular,23.99,-100.4356,20.68108,2026-05-22
2641,premium,29.49,-100.4356,20.68108,2026-05-22
2641,diesel,27,-100.4356,20.68108,2026-05-22
2644,regular,23.99,-99.27248,19.64423,2026-05-22
2644,premium,28.19,-99.27248,19.64423,2026-05-22
2644,diesel,27,-99.27248,19.64423,2026-05-22
2599,regular,23.99,-92.85671,18.16003,2026-05-22
2599,premium,28.49,-92.85671,18.16003,2026-05-22
2599,diesel,27,-92.85671,18.16003,2026-05-22
2696,regular,23.99,-101.5566,17.65764,2026-05-22
2696,premium,28.27,-101.5566,17.65764,2026-05-22
2598,diesel,27.99,-98.82012,19.70335,2026-05-22
2598,regular,23.8,-98.82012,19.70335,2026-05-22
2598,premium,28.39,-98.82012,19.70335,2026-05-22
2741,regular,23.99,-92.92345,17.99956,2026-05-22
2741,premium,28.49,-92.92345,17.99956,2026-05-22
2741,diesel,27,-92.92345,17.99956,2026-05-22
2731,diesel,26.98,-100.7748,20.72242,2026-05-22
2731,regular,23.98,-100.7748,20.72242,2026-05-22
2731,premium,25.98,-100.7748,20.72242,2026-05-22
2653,premium,27.9,-101.5344,17.64926,2026-05-22
2653,regular,23.99,-101.5344,17.64926,2026-05-22
2653,diesel,27.7,-101.5344,17.64926,2026-05-22
2666,regular,23.99,-93.16063,17.98196,2026-05-22
2666,premium,28.49,-93.16063,17.98196,2026-05-22
2666,diesel,27,-93.16063,17.98196,2026-05-22
2716,regular,23.99,-93.15559,17.85728,2026-05-22
2716,premium,28.49,-93.15559,17.85728,2026-05-22
2716,diesel,27,-93.15559,17.85728,2026-05-22
2717,regular,23.99,-116.5824,31.86871,2026-05-22
2717,premium,29.19,-116.5824,31.86871,2026-05-22
2640,regular,23.99,-92.94965,17.98952,2026-05-22
2640,premium,28.49,-92.94965,17.98952,2026-05-22
2640,diesel,27,-92.94965,17.98952,2026-05-22
3165,regular,24,-103.3995,20.72675,2026-05-22
3165,premium,29.59,-103.3995,20.72675,2026-05-22
2590,regular,23.69,-99.18771,19.48226,2026-05-22
2590,premium,28.75,-99.18771,19.48226,2026-05-22
2700,regular,23.1,-102.2911,21.87887,2026-05-22
2700,diesel,26.5,-102.2911,21.87887,2026-05-22
2700,premium,28.4,-102.2911,21.87887,2026-05-22
2703,premium,28.69,-99.1461,19.3508,2026-05-22
2703,regular,23.99,-99.1461,19.3508,2026-05-22
2703,diesel,27,-99.1461,19.3508,2026-05-22
2692,regular,23.99,-100.536,18.24155,2026-05-22
2692,premium,29.2,-100.536,18.24155,2026-05-22
2692,diesel,27.99,-100.536,18.24155,2026-05-22
2663,regular,23.99,-99.10221,19.41709,2026-05-22
2663,premium,29.39,-99.10221,19.41709,2026-05-22
2680,diesel,27,-104.2355,20.26832,2026-05-22
2680,regular,24,-104.2355,20.26832,2026-05-22
2649,diesel,27.99,-98.88399,19.65111,2026-05-22
2649,regular,23.99,-98.88399,19.65111,2026-05-22
2649,premium,29.2,-98.88399,19.65111,2026-05-22
2726,regular,23.39,-102.017,20.32901,2026-05-22
2726,premium,28.29,-102.017,20.32901,2026-05-22
2726,diesel,26.99,-102.017,20.32901,2026-05-22
2730,regular,23.99,-109.0599,25.5969,2026-05-22
2730,diesel,28.5,-109.0599,25.5969,2026-05-22
2632,diesel,27.99,-98.7485,19.7613,2026-05-22
2632,regular,23.99,-98.7485,19.7613,2026-05-22
2632,premium,28.8,-98.7485,19.7613,2026-05-22
2725,regular,23.76,-102.0362,20.34909,2026-05-22
2725,premium,28.33,-102.0362,20.34909,2026-05-22
2725,diesel,28.15,-102.0362,20.34909,2026-05-22
2713,regular,23.99,-98.77037,19.13358,2026-05-22
2713,diesel,27.99,-98.77037,19.13358,2026-05-22
2749,regular,23.99,-100.6539,18.34476,2026-05-22
2749,premium,29.2,-100.6539,18.34476,2026-05-22
2749,diesel,27.99,-100.6539,18.34476,2026-05-22
2654,regular,26.15,-92.32173,17.16369,2026-05-22
2654,premium,30.1,-92.32173,17.16369,2026-05-22
2654,diesel,29.5,-92.32173,17.16369,2026-05-22
2654,diesel,29.5,-92.32173,17.16369,2026-05-22
2612,regular,23.99,-103.5208,25.56848,2026-05-22
2612,premium,29.39,-103.5208,25.56848,2026-05-22
2612,diesel,26.99,-103.5208,25.56848,2026-05-22
2604,regular,23.99,-116.9273,32.49059,2026-05-22
2604,premium,29.79,-116.9273,32.49059,2026-05-22
2604,diesel,26.99,-116.9273,32.49059,2026-05-22
2706,premium,28.97,-100.8532,28.34054,2026-05-22
2706,regular,26.99,-100.8532,28.34054,2026-05-22
2744,diesel,27,-100.7619,28.42284,2026-05-22
2744,regular,23.99,-100.7619,28.42284,2026-05-22
2744,premium,26.96,-100.7619,28.42284,2026-05-22
2635,regular,26.98,-100.851,28.33613,2026-05-22
2610,regular,23.99,-117.0291,32.53864,2026-05-22
2610,premium,29.59,-117.0291,32.53864,2026-05-22
2610,diesel,26.99,-117.0291,32.53864,2026-05-22
2665,regular,23.59,-99.18993,19.50559,2026-05-22
2665,premium,28.59,-99.18993,19.50559,2026-05-22
2665,diesel,26.99,-99.18993,19.50559,2026-05-22
3168,regular,21.2,-100.9305,29.30822,2026-05-22
3168,premium,23.94,-100.9305,29.30822,2026-05-22
11060,regular,23.99,-93.13705,16.7618,2026-05-22
11060,premium,28.5,-93.13705,16.7618,2026-05-22
10864,regular,23.99,-93.13908,16.75044,2026-05-22
10864,premium,28.5,-93.13908,16.75044,2026-05-22
2708,regular,23.85,-103.6685,19.27372,2026-05-22
2708,premium,28,-103.6685,19.27372,2026-05-22
2708,diesel,27,-103.6685,19.27372,2026-05-22
2642,regular,18.99,-100.5517,28.65402,2026-05-22
2642,premium,23.99,-100.5517,28.65402,2026-05-22
2642,diesel,26.49,-100.5517,28.65402,2026-05-22
2600,diesel,27.59,-116.5731,31.7198,2026-05-22
2600,premium,29.19,-116.5731,31.7198,2026-05-22
2600,regular,23.19,-116.5731,31.7198,2026-05-22
3161,regular,23.2,-116.6229,31.87244,2026-05-22
3161,premium,27.79,-116.6229,31.87244,2026-05-22
3161,diesel,26.99,-116.6229,31.87244,2026-05-22
2681,regular,23.99,-103.7137,19.22135,2026-05-22
2681,premium,28.7,-103.7137,19.22135,2026-05-22
2681,diesel,26.99,-103.7137,19.22135,2026-05-22
2697,regular,23.27,-116.5643,32.10115,2026-05-22
2697,diesel,26.97,-116.5643,32.10115,2026-05-22
2723,regular,23.2,-116.5994,31.89762,2026-05-22
2723,premium,26.99,-116.5994,31.89762,2026-05-22
2734,regular,23.89,-93.18654,16.7747,2026-05-22
2734,premium,28.25,-93.18654,16.7747,2026-05-22
2734,diesel,27,-93.18654,16.7747,2026-05-22
2693,regular,23.29,-116.9431,32.42402,2026-05-22
2693,premium,27.39,-116.9431,32.42402,2026-05-22
2693,diesel,26.99,-116.9431,32.42402,2026-05-22
16225,regular,22.99,-105.2612,20.74134,2026-05-22
16225,premium,29.39,-105.2612,20.74134,2026-05-22
16225,diesel,27.99,-105.2612,20.74134,2026-05-22
16224,regular,22.99,-103.3614,20.43613,2026-05-22
16224,premium,28.69,-103.3614,20.43613,2026-05-22
16224,diesel,27.49,-103.3614,20.43613,2026-05-22
16223,regular,23.99,-89.67767,20.90713,2026-05-22
16223,premium,27.99,-89.67767,20.90713,2026-05-22
16223,diesel,27,-89.67767,20.90713,2026-05-22
16222,regular,23.99,-104.9041,21.48926,2026-05-22
16222,premium,29.49,-104.9041,21.48926,2026-05-22
16222,diesel,27.75,-104.9041,21.48926,2026-05-22
16221,regular,22.69,-98.95831,19.43164,2026-05-22
16221,premium,27.79,-98.95831,19.43164,2026-05-22
16219,regular,23.99,-103.3096,20.64532,2026-05-22
16219,premium,28.99,-103.3096,20.64532,2026-05-22
2662,regular,23.99,-96.94771,19.54987,2026-05-22
2662,premium,29.09,-96.94771,19.54987,2026-05-22
16216,premium,26.55,-115.4932,32.5958,2026-05-22
16216,regular,21.55,-115.4932,32.5958,2026-05-22
16216,diesel,26.97,-115.4932,32.5958,2026-05-22
16215,regular,24,-101.8213,22.40055,2026-05-22
